date,count,uniques
2026-03-23,0,0
2026-03-24,0,0
2026-03-25,0,0
2026-03-26,0,0
2026-03-27,4,1
2026-03-28,72,1
2026-03-29,31,15
2026-03-30,16,7
2026-03-31,0,0
2026-04-01,3,3
2026-04-02,1,1
2026-04-03,1,1
2026-04-04,1,1
2026-04-05,9,9
2026-04-06,647,136
2026-04-07,13,7
2026-04-08,37,15
2026-04-09,13,8
2026-04-10,18,11
2026-04-11,17,10
2026-04-12,20,12
2026-04-13,38,18
2026-04-14,25,12
2026-04-15,27,14
2026-04-16,8,5
2026-04-17,13,9
2026-04-18,14,7
2026-04-19,18,10
2026-04-20,16,12
2026-04-21,26,12
2026-04-22,25,12
2026-04-23,194,31
2026-04-24,27,12
2026-04-25,104,29
2026-04-26,16,7
2026-04-27,17,8
2026-04-28,23,12
2026-04-29,27,11
2026-04-30,36,12
2026-05-01,192,31
2026-05-02,13,6
2026-05-03,17,10
2026-05-04,19,9
2026-05-05,24,12
2026-05-06,21,8
2026-05-07,14,7
2026-05-08,14,7
2026-05-09,20,11
2026-05-10,17,11
2026-05-11,12,8
2026-05-12,10,5
2026-05-13,13,5
2026-05-14,25,11
2026-05-15,19,11
2026-05-16,13,9
2026-05-17,14,7
2026-05-18,8,4
2026-05-19,16,9
2026-05-20,4,3
2026-05-21,13,8
2026-05-22,17,9
2026-05-23,12,9
2026-05-24,15,8
2026-05-25,3,2
2026-05-26,13,6
2026-05-27,11,6
2026-05-28,15,9
2026-05-29,17,10
2026-05-30,23,12
2026-05-31,16,8
2026-06-01,17,9
2026-06-02,15,8
2026-06-03,17,8
2026-06-04,18,11
2026-06-05,18,10
2026-06-06,14,8
2026-06-07,21,10
2026-06-08,14,7
2026-06-09,19,9
2026-06-10,19,11
2026-06-11,6,5
2026-06-12,16,8
2026-06-13,18,8
2026-06-14,27,10
2026-06-15,9,5
2026-06-16,16,7
2026-06-17,16,8
2026-06-18,37,16
2026-06-19,24,10
2026-06-20,37,15
2026-06-21,25,13
2026-06-22,22,11
2026-06-23,26,10
2026-06-24,45,18
2026-06-25,183,34
2026-06-26,4,3
2026-06-27,13,7
2026-06-28,13,9
2026-06-29,10,5
2026-06-30,9,5
